followersCount,postsCount,followsCount
3978246,1254,227
3780797,286,535
5919577,339,167
5945313,279,93
1957439,359,394
3312342,441,200
5181068,318,361
2409528,954,506
4440952,326,550
3903282,473,364
1767247,658,356
4244067,953,404
3107914,1288,307
2865990,1203,597
3970910,1463,336
4779575,296,216
4337035,1447,287
4152192,371,543
4717620,490,219
3643926,659,84
4936523,664,503
5841373,219,428
3006972,1058,362
5531087,706,513
3432776,1035,299
3147362,915,453
3660155,1496,370
2896691,241,517
5072953,573,588
4820471,860,529
3011731,1117,406
4413428,424,570
6827797,1010,133
4684157,193,174
5508483,1257,139
1582727,583,416
4968681,959,243
2157481,243,186
2200713,1348,281
2547447,351,380
3293923,648,93
2159246,630,584
6430412,479,289
2624099,359,535
5417599,767,548
5807721,1190,553
2937066,256,480
2675067,314,136
6824999,756,360
4090119,778,84
4781981,1365,385
6944696,1369,423
6200805,1481,233
4840520,286,433
5553028,1102,437
6072928,1009,487
4630827,1267,491
3906690,900,109
6947877,1261,451
4765790,310,582
